timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-06-12T01:50	baseline	plugin-develop	-	36.5	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	skill-creator	-	38.2	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	github	-	37.8	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	summarize	-	39.0	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	plugin-init	-	71.0	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	plugin-test	-	74.5	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	plugin-quality	-	76.0	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	plugin-publish	-	73.5	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	zhin-audit	-	77.5	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	zhin-plugin-refactoring	-	72.0	baseline	-	初始评估	dry_run
2026-06-12T01:50	baseline	zhin-plugin-standard-development	-	80.5	baseline	-	初始评估	dry_run
2026-06-12T02:00	pending	plugin-develop	36.5	72.0	keep	工作流/失败/反例	扩写+CHECKPOINT	dry_run
2026-06-12T02:00	pending	skill-creator	38.2	74.0	keep	工作流/失败/反例	扩写+CHECKPOINT	dry_run
2026-06-12T02:00	pending	github	37.8	73.5	keep	工作流/失败/反例	扩写+CHECKPOINT	dry_run
2026-06-12T02:00	pending	summarize	39.0	72.5	keep	工作流/失败/反例	扩写模板	dry_run
2026-06-12T02:00	pending	zhin-audit	77.5	82.0	keep	dim3/dim9/endpoint	失败表+反例+Endpoint术语	dry_run
2026-06-12T02:00	pending	zhin-plugin-refactoring	72.0	78.5	keep	dim3/dim4/dim9	失败表+CHECKPOINT	dry_run
2026-06-12T02:15	round2	zhin-plugin-standard-development	80.5	86.0	keep	dim3/dim4/dim9	失败表+Endpoint术语	dry_run
2026-06-12T02:15	round2	plugin-init	71.0	79.5	keep	dim3/dim4/dim9	失败表+CHECKPOINT	dry_run
2026-06-12T02:15	round2	plugin-test	74.5	81.0	keep	dim3/dim4/dim9	失败表+CHECKPOINT	dry_run
2026-06-12T02:15	round2	plugin-quality	76.0	82.5	keep	dim3/dim4/dim9	失败表+CHECKPOINT	dry_run
2026-06-12T02:15	round2	plugin-publish	73.5	80.0	keep	dim3/dim4/dim9	发布CHECKPOINT	dry_run
2026-06-12T03:00	round3	plugin-develop	72.0	84.0	keep	dim5/dim6	代码片段+输出模板+文档表	dry_run
2026-06-12T03:00	round3	skill-creator	74.0	82.5	keep	dim5/dim6	完整输出模板+延伸阅读	dry_run
2026-06-12T03:00	round3	github	73.5	82.0	keep	dim5	Issue/PR模板+验证命令	dry_run
2026-06-12T03:00	round3	summarize	72.5	81.5	keep	dim4/dim5	场景模板+CHECKPOINT	dry_run
2026-06-12T03:00	round3	plugin-init	79.5	82.0	keep	dim5/dim6	zhin new优先路径	dry_run
2026-06-12T03:00	round3	zhin-plugin-refactoring	78.5	82.0	keep	dim5	验证命令+报告模板	dry_run
2026-06-12T04:00	full_test	plugin-develop	84.0	83.5	keep	dim8=7.0	4子agent对比	full_test
2026-06-12T04:00	full_test	skill-creator	82.5	84.0	keep	dim8=8.0	4子agent对比	full_test
2026-06-12T04:00	full_test	plugin-init	82.0	83.5	keep	dim8=8.5	4子agent对比	full_test
2026-06-12T04:00	full_test	github	82.0	80.5	keep	dim8=7.0	4子agent对比	full_test
2026-06-12T04:00	full_test	summarize	81.5	79.5	keep	dim8=6.5	缺原始日志时偏薄	full_test
2026-06-12T04:00	full_test	plugin-quality	82.5	84.5	keep	dim8=8.0	4子agent对比	full_test
2026-06-12T04:00	full_test	plugin-test	81.0	81.5	keep	dim8=7.0	修command.handle后复测	full_test
2026-06-12T04:00	full_test	plugin-publish	80.0	85.0	keep	dim8=8.5	4子agent对比	full_test
2026-06-12T04:00	full_test	zhin-audit	82.0	85.5	keep	dim8=8.5	4子agent对比	full_test
2026-06-12T04:00	full_test	zhin-plugin-refactoring	82.0	83.5	keep	dim8=8.0	4子agent对比	full_test
2026-06-12T04:00	full_test	zhin-plugin-standard-development	86.0	88.5	keep	dim8=9.0	adapter边界prompt=10	full_test
